#separator:Tab
#html:true
#notetype:Basic
#deck:真经GRE等价词汇总2026
#tags column:3
mitigate	<b>缓和</b><br><br>等价词：abate, curtail, temper, ameliorate<br><br><small>第1天 · 原书第1页（PDF 第5页）<br>等价关系与释义按原资料，须结合题目语境理解。</small>	GRE2026 Day1
anomaly	<b>异常</b><br><br>等价词：aberration<br><br><small>第1天 · 原书第1页（PDF 第5页）<br>等价关系与释义按原资料，须结合题目语境理解。</small>	GRE2026 Day1
quiescent	<b>不活跃的，静止的</b><br><br>等价词：abeyant, calm<br><br><small>第1天 · 原书第1页（PDF 第5页）<br>等价关系与释义按原资料，须结合题目语境理解。</small>	GRE2026 Day1
unprecedented	<b>前所未有的</b><br><br>等价词：abnormal<br><br><small>第1天 · 原书第1页（PDF 第5页）<br>等价关系与释义按原资料，须结合题目语境理解。</small>	GRE2026 Day1
proliferate	<b>激增</b><br><br>等价词：abound<br><br><small>第1天 · 原书第1页（PDF 第5页）<br>等价关系与释义按原资料，须结合题目语境理解。</small>	GRE2026 Day1
synoptic	<b>概要的</b><br><br>等价词：abridged<br><br><small>第1天 · 原书第1页（PDF 第5页）<br>等价关系与释义按原资料，须结合题目语境理解。</small>	GRE2026 Day1
exonerate	<b>免罪</b><br><br>等价词：absolve<br><br><small>第1天 · 原书第1页（PDF 第5页）<br>等价关系与释义按原资料，须结合题目语境理解。</small>	GRE2026 Day1
general	<b>笼统的</b><br><br>等价词：abstract<br><br><small>第1天 · 原书第1页（PDF 第5页）<br>等价关系与释义按原资料，须结合题目语境理解。</small>	GRE2026 Day1
regular	<b>常出现的</b><br><br>等价词：abundant<br><br><small>第1天 · 原书第1页（PDF 第5页）<br>等价关系与释义按原资料，须结合题目语境理解。</small>	GRE2026 Day1
misuse	<b>误用</b><br><br>等价词：abuse<br><br><small>第1天 · 原书第1页（PDF 第5页）<br>等价关系与释义按原资料，须结合题目语境理解。</small>	GRE2026 Day1
acquiescence	<b>默许</b><br><br>等价词：accession<br><br><small>第1天 · 原书第1页（PDF 第5页）<br>等价关系与释义按原资料，须结合题目语境理解。</small>	GRE2026 Day1
hail	<b>称赞</b><br><br>等价词：acclaim<br><br><small>第1天 · 原书第1页（PDF 第5页）<br>等价关系与释义按原资料，须结合题目语境理解。</small>	GRE2026 Day1
consensus	<b>一致意见</b><br><br>等价词：accord<br><br><small>第1天 · 原书第1页（PDF 第5页）<br>等价关系与释义按原资料，须结合题目语境理解。</small>	GRE2026 Day1
caustic	<b>尖刻的</b><br><br>等价词：acerbic<br><br><small>第1天 · 原书第1页（PDF 第5页）<br>等价关系与释义按原资料，须结合题目语境理解。</small>	GRE2026 Day1
mordant	<b>尖刻的</b><br><br>等价词：acerbic<br><br><small>第1天 · 原书第1页（PDF 第5页）<br>等价关系与释义按原资料，须结合题目语境理解。</small>	GRE2026 Day1
vitriolic	<b>尖酸刻薄的</b><br><br>等价词：acerbic, opprobrium<br><br><small>第1天 · 原书第1页（PDF 第5页）<br>等价关系与释义按原资料，须结合题目语境理解。</small>	GRE2026 Day1
realize	<b>实现</b><br><br>等价词：achieve<br><br><small>第1天 · 原书第1页（PDF 第5页）<br>等价关系与释义按原资料，须结合题目语境理解。</small>	GRE2026 Day1
concede	<b>承认</b><br><br>等价词：acknowledge<br><br><small>第1天 · 原书第1页（PDF 第5页）<br>等价关系与释义按原资料，须结合题目语境理解。</small>	GRE2026 Day1
